Characteristic,Survivors (n=1915),Non-survivors (n=1188),P-value
"Age, years",70.0 (60.0-78.0),75.0 (65.0-83.0),<0.001
"Female sex, n (%)",733 (38.3),512 (43.1),0.009
"White race, n (%)",1223 (63.9),712 (59.9),0.031
"Black race, n (%)",201 (10.5),116 (9.8),0.553
"AMI-cardiogenic shock, n (%)",718 (37.5),494 (41.6),0.026
"Heart failure history, n (%)",947 (49.5),482 (40.6),<0.001
"Diabetes mellitus, n (%)",620 (32.4),418 (35.2),0.116
"Chronic kidney disease, n (%)",721 (37.7),515 (43.4),0.002
"Systolic blood pressure, mmHg",105.0 (95.0-117.0),99.0 (85.0-112.0),<0.001
"Heart rate, beats/min",86.0 (74.0-99.0),87.0 (71.0-104.0),0.604
"Lactate, mmol/L",1.8 (1.3-2.5),2.9 (1.7-6.3),<0.001
"Anion gap, mmol/L",12.0 (10.0-15.0),15.0 (12.0-20.0),<0.001
"Urine output, mL/kg/h",0.8 (0.5-1.4),0.4 (0.1-0.9),<0.001
"Blood urea nitrogen, mg/dL",29.0 (19.0-46.0),39.0 (26.0-59.0),<0.001
"Creatinine, mg/dL",1.4 (1.0-2.2),2.0 (1.3-2.9),<0.001
"Red cell distribution width, %",14.9 (13.8-16.6),15.8 (14.4-17.7),<0.001
"Hemoglobin, g/dL",10.5 (9.1-12.1),10.0 (8.7-11.6),<0.001
"Sodium, mmol/L",138.0 (135.0-140.0),138.0 (134.0-141.0),0.349
"Vasopressor or inotrope, n (%)",1190 (62.1),823 (69.3),<0.001
"Invasive mechanical ventilation, n (%)",949 (49.6),696 (58.6),<0.001
"Mechanical circulatory support, n (%)",382 (19.9),246 (20.7),0.641
"Out-of-hospital cardiac arrest, n (%)",116 (6.1),212 (17.8),<0.001
"Sepsis-3, n (%)",880 (46.0),621 (52.3),<0.001
"SCAI stage B, n (%)",345 (18.0),119 (10.0),<0.001
"SCAI stage C, n (%)",680 (35.5),320 (26.9),<0.001
"SCAI stage D, n (%)",521 (27.2),260 (21.9),0.001
"SCAI stage E, n (%)",361 (18.9),489 (41.2),<0.001
